facilityID,facilityName,state,capacity,annualGeneration,heatInput,operatingHours,so2Rate,so2Mass,noxMass,co2Mass,pm25,voc,PlantCode,Latitude,Longitude
4158,Dave Johnston,WY,212.0,1369715.17,14661169.08,8463.37,0.6395,4791.688,2590.447,1537670.247,71.6999079265092,24.5266194225721,4158,42.8378,-105.7769
6009,White Bluff,AR,1700.0,4195520.34,46014977.2,4715.36,0.4534,10711.111,3786.142,4824080.41,459.6209848795699,120.5294288867984,6009,34.4228,-92.1406
6017,Newton,IL,617.4,2859819.79,28793934.1,6427.39,0.3039,4632.306,1879.548,3019906.63,166.763016,88.338756,6017,38.9361,-88.2781
6034,Belle River,MI,1395.0,4572762.58,45364366.9,6543.18,1.3551,14596.541,4746.522,4757787.73,19.56463281113212,85.4220151165789,6034,42.7756,-82.495
6055,Big Cajun 2,LA,611.0,240449.27,2803829.53,1091.46,0.5018,815.777,164.606,291313.12,29.9125445,18.430073,6055,30.7261,-91.3692
6073,Daniel Electric Generating Plant,MS,500.0,1539901.42,18042375.6,6373.77,0.0078,94.141,1614.085,1851144.47,35.5664698,30.667615,6073,30.5322,-88.5553
6077,Gerald Gentleman Station,NE,1362.6,7411841.0,69650462.9,8389.25,0.5138,18175.754999999997,6287.839,7304937.58,149.29476970366738,150.6540315842072,6077,41.0808,-101.1408
6096,Nebraska City Station,NE,691.0,4234770.04,42217054.9,8507.47,0.436,9459.248,4032.835,4422352.98,118.119108368997,46.3389863214266,6096,40.6214,-95.7764
6139,Welsh Power Plant,TX,1116.0,3587163.34,38601790.5,6818.67,0.4085,8168.936,3671.634,4048551.43,24.5348173,15.830000000000002,6139,33.05522,-94.839993
6155,Rush Island,MO,1242.0,7864247.42,71684446.0,7767.15,0.4648,17321.407,3012.353,7518268.24,-22.327322147188,127.8015054008426,6155,38.131248,-90.263157
6178,Coleto Creek,TX,632.0,2704811.72,28661161.9,6743.49,0.5547,8114.863,2031.158,3005980.89,140.9607,31.7829,6178,28.7128,-97.214167
6190,Brame Energy Center,LA,558.0,1240093.02,13526800.6,5677.75,0.2498,1648.515,1257.069,1418689.93,149.06,81.91,6190,31.395,-92.716667
6193,Harrington Station,TX,1080.0,3688394.45,35342404.6,6859.71,0.4412,8183.995000000001,2555.015,3685235.87,73.263067,63.1147,6193,35.29816,-101.747187
6194,Tolk Station,TX,1136.0,2028808.41,21336678.299999997,4352.32,0.384,4662.403,1810.87,2222219.42,33.19718063857012,35.0546,6194,34.186494,-102.56999
6195,John Twitty Energy Center,MO,233.0,574294.41,5577840.42,3976.86,0.5021,1507.986,290.843,576692.555,40.1925823867403,9.89456169429098,6195,37.151706,-93.38804
6641,Independence,AR,1700.0,3135437.61,35188269.099999994,3918.26,0.4339,7989.339,2991.8289999999997,3688666.34,289.5156436020527,76.9968007951065,6641,35.678442,-91.408761
6768,Sikeston,MO,261.0,1782953.33,16880136.5,7876.71,0.4995,4265.518,922.491,1770392.75,364.7798,29.414,6768,36.8791,-89.6209
6772,Hugo,OK,475.0,229045.72,2675860.91,1072.02,0.4269,569.662,242.737,273573.031,15.38341129,9.97424945,6772,34.0158,-95.3206
8224,North Valmy,NV,254.3,442284.27,4231094.18,3698.34,0.6828,1458.399,679.102,443757.067,31.1325537403415,9.58736854402455,8224,40.881317,-117.151605
